425,0,0,0,-0.19,0.79,9.08
461,0,0,0,-0.13,0.7,9.1
497,0,0,0,-0.2,0.68,9.02
533,0,0,0,-0.16,0.71,9.07
569,0,0,0,-0.17,0.72,9.1
611,0,0,0,-0.19,0.76,9
646,0,0,0,-0.22,0.73,9.07
681,0,0,0,-0.15,0.74,9.04
717,0,0,0,-0.18,0.75,8.98
762,0,0,0,-0.22,0.68,9.11
798,0,0,0,-0.22,0.71,9.1
839,0,0,0,-0.21,0.79,9.12
875,0,0,0,-0.17,0.71,9.05
911,0,0,0,-0.2,0.76,9.04
947,0,0,0,-0.22,0.76,9.13
982,0,0,0,-0.17,0.73,9.02
1017,0,0,0,-0.26,0.75,9.08
1069,0,0,0,-0.24,0.72,9.07
1104,0,0,0,-0.18,0.79,9.15
1140,0,0,0,-0.25,0.73,9.04
1176,0,0,0,-0.27,0.74,9.05
1211,0,0,0,-0.2,0.76,9.11
1247,0,0,0,-0.21,0.73,9
1288,0,0,0,-0.21,0.73,9.16
1324,0,0,0,-0.18,0.76,9.09
1360,0,0,0,-0.22,0.76,9.04
1396,0,0,0,-0.2,0.73,9.08
1432,0,0,0,-0.14,0.74,9.03
1469,0,0,0,-0.21,0.78,9.05
1505,0,0,0,-0.25,0.73,8.96
1546,0,0,0,-0.18,0.67,9.06
1582,0,0,0,-0.24,0.69,9.09
1617,0,0,0,-0.1,0.81,8.99
1654,0,0,0,-0.27,0.68,9.06
1690,0,0,0,-0.31,0.69,9
1726,0,0,0,-0.18,0.79,9.21
1767,0,0,0,-0.16,0.66,8.98
1803,0,0,0,-0.21,0.75,9
1839,0,0,0,-0.26,0.7,9.18
1874,0,0,0,-0.23,0.71,9.11
1910,0,0,0,-0.2,0.69,9.1
1960,0,0,0,-0.22,0.72,9.05
2002,0,0,0,-0.2,0.73,9.06
2038,0,0,0,-0.18,0.72,9.15
2074,0,0,0,-0.23,0.73,9.06
2110,0,0,0,-0.23,0.75,9.07
2146,0,0,0,-0.21,0.78,9.05
2182,0,0,0,-0.21,0.73,9.11
2223,0,0,0,-0.19,0.73,9.08
2258,0,0,0,-0.21,0.73,9.04
2295,0,0,0,-0.21,0.76,9.15
2331,0,0,0,-0.17,0.71,9.03
2367,0,0,0,-0.2,0.76,9.09
2403,0,0,0,-0.18,0.77,9.09
2445,0,0,0,-0.21,0.76,9.09
2481,0,0,0,-0.19,0.78,9.01
2516,0,0,0,-0.22,0.73,9.15
2552,0,0,0,-0.22,0.78,9.1
2588,0,0,0,-0.22,0.74,9
2624,0,0,0,-0.19,0.77,9.02
2666,0,0,0,-0.21,0.7,9.03
2702,0,0,0,-0.24,0.75,9.1
2738,0,0,0,-0.22,0.77,9.1
2774,0,0,0,-0.23,0.71,9.14
2809,0,0,0,-0.21,0.71,9.1
2845,0,0,0,-0.16,0.7,9.05
2881,0,0,0,-0.2,0.72,9.11
2922,0,0,0,-0.24,0.74,9.05
2958,0,0,0,-0.23,0.74,9.07
2994,0,0,0,-0.28,0.76,9.04
3030,0,0,0,-0.28,0.73,9.11
3066,0,0,0,-0.24,0.73,9.13
3102,0,0,0,-0.11,0.78,9.1
3143,0,0,0,-0.23,0.78,9.13
3179,0,0,0,-0.23,0.75,9.11
3215,0,0,0,-0.2,0.7,9.07
3252,0,0,0,-0.22,0.75,9.09
3288,0,0,0,-0.23,0.73,9.04
3323,0,0,0,-0.21,0.76,8.99
3364,0,0,0,-0.2,0.71,9.04
3401,0,0,0,-0.25,0.74,9.03
3437,0,0,0,-0.2,0.76,9.11
3473,0,0,0,-0.16,0.74,9.04
3509,0,0,0,-0.21,0.76,9.12
3545,0,0,0,-0.18,0.71,9.09
3586,0,0,0,-0.22,0.75,9.09
3621,0,0,0,-0.25,0.66,9.13
3657,0,0,0,-0.22,0.76,9.09
3693,0,0,0,-0.17,0.68,9.07
3729,0,0,0,-0.27,0.76,9.16
3765,0,0,0,-0.16,0.76,8.97
3806,0,0,0,-0.19,0.73,9
3843,0,0,0,-0.22,0.79,9.11
3878,0,0,0,-0.19,0.72,9.08
3914,0,0,0,-0.24,0.72,9.13
3950,0,0,0,-0.23,0.76,8.99
3986,0,0,0,-0.17,0.78,9.1
4027,0,0,0,-0.15,0.76,9.14
4063,0,0,0,-0.2,0.74,9.03
4099,0,0,0,-0.22,0.77,9.01
4134,0,0,0,-0.27,0.69,9.09
4171,0,0,0,-0.26,0.76,9.09
4207,0,0,0,-0.2,0.74,8.97
4243,0,0,0,-0.25,0.75,8.93
4285,0,0,0,-0.24,0.76,9.1
4321,0,0,0,-0.24,0.78,9.01
4357,0,0,0,-0.14,0.75,9.07
4392,0,0,0,-0.2,0.72,9.05
4428,0,0,0,-0.21,0.78,9.12
4464,0,0,0,-0.19,0.76,9.09
4505,0,0,0,-0.18,0.67,9.09
4541,0,0,0,-0.23,0.73,9.09
4577,0,0,0,-0.24,0.77,9.05
4613,0,0,0,-0.17,0.68,9.1
4648,0,0,0,-0.21,0.78,9.09
4684,0,0,0,-0.17,0.73,9.09
4725,0,0,0,-0.23,0.76,9.09
4761,0,0,0,-0.16,0.78,9.03
4797,0,0,0,-0.24,0.69,9.05
4833,0,0,0,-0.25,0.76,9.1
4869,0,0,0,-0.24,0.77,9.11
4904,0,0,0,-0.22,0.73,8.98
4946,0,0,0,-0.25,0.73,9.14
4982,0,0,0,-0.22,0.68,8.98
5018,0,0,0,-0.21,0.74,8.97
5063,0,0,0,-0.19,0.72,9.03
5100,0,0,0,-0.28,0.73,9
5136,0,0,0,-0.25,0.69,9.1
5177,0,0,0,-0.19,0.77,9.11
5213,0,0,0,-0.2,0.72,9.09
5249,0,0,0,-0.13,0.77,9.08
5284,0,0,0,-0.2,0.74,9
5320,0,0,0,-0.2,0.71,9.08
5356,0,0,0,-0.18,0.73,9.01
5398,0,0,0,-0.19,0.71,9.02
5434,0,0,0,-0.18,0.7,9.1
5470,0,0,0,-0.2,0.75,8.96
5506,0,0,0,-0.23,0.68,9.08
5541,0,0,0,-0.24,0.73,9.08
5577,0,0,0,-0.22,0.71,9.04
5613,0,0,0,-0.21,0.68,9.09
